Domain size 512x512x64, z-curve layout

=============================================================================================
=== LAPLAP-IDXVAR VS LAPLAP-KLOOP AT 128 (KLOOP OPTIMAL) AND 512 THREADS (IDXVAR OPTIMAL) ===
Why does performance decrease with more threads for kloop whereas it increases for more threads for idxvar?
 -> Too low occupancy in kloop variants!

=== 64x1x4 Threads (optimal for idxvar) ===

--- idxvar ---
Kernel: void LapLapUnstr::Chasing::laplap_idxvar<double>(int const *, int, int, _coord3<int>, double const *, _coord3<int>*)
     21                               stall_other                                      Issue Stall Reasons (Other)       1.70%       1.97%       1.77%
     21          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.03%       0.11%       0.05%
     21                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)       2.66%       2.97%       2.76%
     21                         shared_efficiency                                         Shared Memory Efficiency       0.00%       0.00%       0.00%
     21                                inst_fp_32                                          FP Instructions(Single)           0           0           0
     21                                inst_fp_64                                          FP Instructions(Double)   396386304   396386304   396386304
     21                              inst_integer                                             Integer Instructions   975360000   975360000   975360000
     21                          inst_bit_convert                                         Bit-Convert Instructions           0           0           0
     21                              inst_control                                        Control-Flow Instructions    16646144    16646144    16646144
     21                        inst_compute_ld_st                                          Load/Store Instructions   429418496   429418496   429418496
     21                                 inst_misc                                                Misc Instructions   166201344   166201344   166201344
     21           inst_inter_thread_communication                                        Inter-Thread Instructions           0           0           0
     21                               issue_slots                                                      Issue Slots    63048494    63055235    63050707
     21                                 cf_issued                                 Issued Control-Flow Instructions     2596928     2596928     2596928
     21                               cf_executed                               Executed Control-Flow Instructions     2596928     2596928     2596928
     21                               ldst_issued                                   Issued Load/Store Instructions    15500928    15500928    15500928
     21                             ldst_executed                                 Executed Load/Store Instructions    15500928    15500928    15500928
     21                       atomic_transactions                                              Atomic Transactions           0           0           0
     21           atomic_transactions_per_request                                  Atomic Transactions Per Request    0.000000    0.000000    0.000000
     21                      l2_atomic_throughput                                  L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
     21                    l2_atomic_transactions                                L2 Transactions (Atomic requests)           0           0           0
     21                  l2_tex_read_transactions                                  L2 Transactions (Texture Reads)    20982155    21021938    20994987
     21                     stall_memory_throttle                            Issue Stall Reasons (Memory Throttle)       9.45%      10.80%      10.36%
     21                        stall_not_selected                               Issue Stall Reasons (Not Selected)       2.23%       2.57%       2.32%
     21                 l2_tex_write_transactions                                 L2 Transactions (Texture Writes)     4129024     4129024     4129024
     21                             flop_count_hp                        Floating Point Operations(Half Precision)           0           0           0
     21                         flop_count_hp_add                    Floating Point Operations(Half Precision Add)           0           0           0
     21                         flop_count_hp_mul                     Floating Point Operation(Half Precision Mul)           0           0           0
     21                         flop_count_hp_fma                    Floating Point Operations(Half Precision FMA)           0           0           0
     21                                inst_fp_16                                            HP Instructions(Half)           0           0           0
     21                                       ipc                                                     Executed IPC    0.641852    1.045988    0.874600
     21                                issued_ipc                                                       Issued IPC    0.922959    1.046210    0.954856
--     21                    issue_slot_utilization                                           Issue Slot Utilization      23.07%      26.16%      23.87%
     21                             sm_efficiency                                          Multiprocessor Activity      98.86%      99.75%      99.07%
--     21                        achieved_occupancy                                               Achieved Occupancy    0.907472    0.915487    0.910238
     21                  eligible_warps_per_cycle                                  Eligible Warps Per Active Cycle    2.232695    2.570732    2.311730
     21                        shared_utilization                                        Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
     21                            l2_utilization                                             L2 Cache Utilization     Low (1)     Low (3)     Low (2)
     21                           tex_utilization                                        Unified Cache Utilization     Mid (4)     Mid (5)     Mid (4)
     21                       ldst_fu_utilization                             Load/Store Function Unit Utilization     Low (3)     Low (3)     Low (3)
     21                         cf_fu_utilization                           Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
