./gridbenchmark --no-verify --size 256x256x64 --threads 1x1x1 32x1x1 64x1x1 128x1x1 192x1x1 256x1x1 320x1x1 384x1x1 448x1x1 512x1x1 32x1x16 8x1x64 all 
Benchmark                   , Domain size,,, Blocks     ,,, Threads    ,,, Total execution time         ,,, Kernel-only execution time     
                            ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-regular-coop          , 256, 256,  64,   1, 256,  64, 384,   1,   1,  0.001753,  0.001727,  0.002097,  0.001753,  0.001727,  0.002097
hdiff-regular-coop          , 256, 256,  64,   1, 256,  64, 448,   1,   1,  0.001943,  0.001864,  0.003269,  0.001943,  0.001864,  0.003269
hdiff-regular-coop          , 256, 256,  64,   1, 256,  64, 512,   1,   1,  0.001947,  0.001931,  0.001962,  0.001946,  0.001931,  0.001962
hdiff-regular-coop          , 256, 256,  64,   8, 256,   4,  32,   1,  16,  0.002026,  0.001979,  0.002828,  0.002026,  0.001979,  0.002828
hdiff-regular-coop          , 256, 256,  64,  32, 256,   1,   8,   1,  64,  0.002925,  0.002857,  0.004098,  0.002924,  0.002857,  0.004098
hdiff-regular-shared        , 256, 256,  64, 256, 256,  64,   1,   1,   1,  0.060986,  0.060969,  0.061174,  0.060985,  0.060969,  0.061174
hdiff-regular-shared        , 256, 256,  64,   8, 256,  64,  32,   1,   1,  0.002232,  0.002229,  0.002245,  0.002232,  0.002229,  0.002245
hdiff-regular-shared        , 256, 256,  64,   4, 256,  64,  64,   1,   1,  0.002154,  0.002128,  0.002612,  0.002154,  0.002128,  0.002612
hdiff-regular-shared        , 256, 256,  64,   2, 256,  64, 128,   1,   1,  0.002048,  0.001967,  0.003504,  0.002047,  0.001967,  0.003504
hdiff-regular-shared        , 256, 256,  64,   2, 256,  64, 192,   1,   1,  0.002054,  0.002005,  0.002857,  0.002054,  0.002005,  0.002857
hdiff-regular-shared        , 256, 256,  64,   1, 256,  64, 256,   1,   1,  0.001937,  0.001924,  0.002121,  0.001937,  0.001924,  0.002121
hdiff-regular-shared        , 256, 256,  64,   1, 256,  64, 320,   1,   1,  0.002145,  0.002063,  0.003621,  0.002145,  0.002063,  0.003621
hdiff-regular-shared        , 256, 256,  64,   1, 256,  64, 384,   1,   1,  0.002189,  0.002125,  0.003286,  0.002189,  0.002125,  0.003286
hdiff-regular-shared        , 256, 256,  64,   1, 256,  64, 448,   1,   1,  0.002404,  0.002328,  0.003328,  0.002403,  0.002328,  0.003328
hdiff-regular-shared        , 256, 256,  64,   1, 256,  64, 512,   1,   1,  0.002295,  0.002288,  0.002311,  0.002295,  0.002288,  0.002311
hdiff-regular-shared        , 256, 256,  64,   8, 256,   4,  32,   1,  16,  0.002540,  0.002480,  0.003595,  0.002540,  0.002480,  0.003595
hdiff-regular-shared        , 256, 256,  64,  32, 256,   1,   8,   1,  64,  0.002622,  0.002614,  0.002642,  0.002622,  0.002614,  0.002642
