,stencil,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
47,laplap,naive,False,False,False,False,64,64,64,15,30,16,32,4,2,4,24005.0,24248.0,23450.0,25910.0
48,laplap,naive,False,False,False,False,64,64,64,15,15,32,32,4,4,2,23790.0,23748.0,23280.0,24210.0
49,laplap,naive,False,False,False,False,64,64,64,15,8,64,32,4,8,1,24585.0,24694.0,24220.0,25380.0
50,laplap,naive,False,False,False,False,64,64,64,8,60,16,32,8,1,4,24520.0,24608.0,24220.0,25470.0
51,laplap,naive,False,False,False,False,64,64,64,8,30,32,32,8,2,2,24355.0,24358.0,23970.0,24860.0
52,laplap,naive,False,False,False,False,64,64,64,8,15,64,32,8,4,1,24795.0,24798.0,24390.0,25410.0
53,laplap,naive,False,False,False,False,64,64,64,4,60,32,32,16,1,2,24240.0,24394.0,23920.0,25260.0
54,laplap,naive,False,False,False,False,64,64,64,4,30,64,32,16,2,1,24855.0,24950.0,24380.0,26270.0
55,laplap,naive,False,False,False,False,64,64,64,2,60,64,32,32,1,1,24920.0,25130.0,24540.0,28470.0
56,laplap,naive,False,False,False,False,64,64,64,60,60,1,64,1,1,64,62965.0,63006.0,62120.0,64640.0
57,laplap,naive,False,False,False,False,64,64,64,60,30,2,64,1,2,32,52275.0,52179.0,51100.0,53010.0
58,laplap,naive,False,False,False,False,64,64,64,60,15,4,64,1,4,16,50360.0,50561.0,49630.0,52860.0
59,laplap,naive,False,False,False,False,64,64,64,60,8,8,64,1,8,8,50185.0,50323.0,49460.0,51770.0
60,laplap,naive,False,False,False,False,64,64,64,60,4,16,64,1,16,4,49940.0,49844.0,49140.0,51100.0
61,laplap,naive,False,False,False,False,64,64,64,60,2,32,64,1,32,2,50220.0,50370.0,49710.0,51490.0
62,laplap,naive,False,False,False,False,64,64,64,30,60,2,64,2,1,32,33525.0,33900.0,33060.0,40720.0
63,laplap,naive,False,False,False,False,64,64,64,30,30,4,64,2,2,16,30685.0,30600.0,30000.0,31220.0
64,laplap,naive,False,False,False,False,64,64,64,30,15,8,64,2,4,8,29525.0,29587.0,29190.0,30290.0
65,laplap,naive,False,False,False,False,64,64,64,30,8,16,64,2,8,4,30040.0,30208.0,29430.0,33960.0
66,laplap,naive,False,False,False,False,64,64,64,30,4,32,64,2,16,2,29900.0,29893.0,29330.0,30880.0
67,laplap,naive,False,False,False,False,64,64,64,30,2,64,64,2,32,1,29555.0,29612.0,28890.0,31370.0
68,laplap,naive,False,False,False,False,64,64,64,15,60,4,64,4,1,16,23515.0,23620.0,23340.0,24200.0
69,laplap,naive,False,False,False,False,64,64,64,15,30,8,64,4,2,8,21590.0,21664.0,21190.0,22700.0
70,laplap,naive,False,False,False,False,64,64,64,15,15,16,64,4,4,4,20875.0,21050.0,20360.0,24620.0
71,laplap,naive,False,False,False,False,64,64,64,15,8,32,64,4,8,2,21890.0,21915.0,21510.0,22520.0
72,laplap,naive,False,False,False,False,64,64,64,15,4,64,64,4,16,1,21815.0,21956.0,21280.0,25140.0
73,laplap,naive,False,False,False,False,64,64,64,8,60,8,64,8,1,8,18735.0,18814.0,18410.0,19540.0
74,laplap,naive,False,False,False,False,64,64,64,8,30,16,64,8,2,4,17785.0,18068.0,17520.0,21860.0
75,laplap,naive,False,False,False,False,64,64,64,8,15,32,64,8,4,2,17865.0,17855.0,17360.0,19160.0
76,laplap,naive,False,False,False,False,64,64,64,8,8,64,64,8,8,1,19455.0,19342.0,18230.0,20770.0
77,laplap,naive,False,False,False,False,64,64,64,4,60,16,64,16,1,4,17985.0,18044.0,17540.0,18830.0
78,laplap,naive,False,False,False,False,64,64,64,4,30,32,64,16,2,2,18320.0,18365.0,17900.0,19170.0
79,laplap,naive,False,False,False,False,64,64,64,4,15,64,64,16,4,1,18080.0,18469.0,17740.0,24170.0
80,laplap,naive,False,False,False,False,64,64,64,2,60,32,64,32,1,2,18475.0,18578.0,18190.0,19370.0
81,laplap,naive,False,False,False,False,64,64,64,2,30,64,64,32,2,1,18100.0,18419.0,17680.0,24490.0
82,laplap,naive,False,False,False,False,64,64,64,60,30,1,128,1,2,64,54760.0,54886.0,53570.0,56660.0
83,laplap,naive,False,False,False,False,64,64,64,60,15,2,128,1,4,32,51115.0,51034.0,50080.0,51920.0
84,laplap,naive,False,False,False,False,64,64,64,60,8,4,128,1,8,16,51500.0,51398.0,50220.0,52470.0
85,laplap,naive,False,False,False,False,64,64,64,60,4,8,128,1,16,8,51980.0,52031.0,50500.0,57210.0
86,laplap,naive,False,False,False,False,64,64,64,60,2,16,128,1,32,4,51100.0,51046.0,50170.0,52420.0
87,laplap,naive,False,False,False,False,64,64,64,30,60,1,128,2,1,64,35130.0,35091.0,34380.0,35960.0
88,laplap,naive,False,False,False,False,64,64,64,30,30,2,128,2,2,32,30595.0,30575.0,30060.0,31650.0
89,laplap,naive,False,False,False,False,64,64,64,30,15,4,128,2,4,16,30535.0,30618.0,29900.0,31660.0
90,laplap,naive,False,False,False,False,64,64,64,30,8,8,128,2,8,8,30315.0,30358.0,29650.0,31200.0
91,laplap,naive,False,False,False,False,64,64,64,30,4,16,128,2,16,4,30185.0,30180.0,29590.0,31130.0
92,laplap,naive,False,False,False,False,64,64,64,30,2,32,128,2,32,2,30260.0,30357.0,29790.0,31510.0
93,laplap,naive,False,False,False,False,64,64,64,15,60,2,128,4,1,32,24070.0,24132.0,23480.0,25400.0
94,laplap,naive,False,False,False,False,64,64,64,15,30,4,128,4,2,16,21640.0,21772.0,21470.0,22360.0
95,laplap,naive,False,False,False,False,64,64,64,15,15,8,128,4,4,8,21260.0,21370.0,20900.0,22220.0
96,laplap,naive,False,False,False,False,64,64,64,15,8,16,128,4,8,4,21070.0,21074.0,20620.0,21690.0
97,laplap,naive,False,False,False,False,64,64,64,15,4,32,128,4,16,2,21105.0,21049.0,20410.0,21460.0
98,laplap,naive,False,False,False,False,64,64,64,15,2,64,128,4,32,1,22220.0,22158.0,21040.0,23250.0
99,laplap,naive,False,False,False,False,64,64,64,8,60,4,128,8,1,16,20130.0,20224.0,19760.0,20940.0
100,laplap,naive,False,False,False,False,64,64,64,8,30,8,128,8,2,8,17580.0,17712.0,17340.0,18480.0
101,laplap,naive,False,False,False,False,64,64,64,8,15,16,128,8,4,4,17895.0,17900.0,17470.0,18590.0
102,laplap,naive,False,False,False,False,64,64,64,8,8,32,128,8,8,2,18640.0,18537.0,17680.0,19590.0
103,laplap,naive,False,False,False,False,64,64,64,8,4,64,128,8,16,1,17625.0,18142.0,17380.0,25330.0
104,laplap,naive,False,False,False,False,64,64,64,4,60,8,128,16,1,8,17190.0,17271.0,16840.0,18400.0
105,laplap,naive,False,False,False,False,64,64,64,4,30,16,128,16,2,4,15550.0,15530.0,15060.0,16170.0
106,laplap,naive,False,False,False,False,64,64,64,4,15,32,128,16,4,2,15250.0,15302.0,14890.0,16210.0
107,laplap,naive,False,False,False,False,64,64,64,4,8,64,128,16,8,1,15125.0,15254.0,14910.0,16140.0
108,laplap,naive,False,False,False,False,64,64,64,2,60,16,128,32,1,4,16835.0,17212.0,16650.0,22580.0
109,laplap,naive,False,False,False,False,64,64,64,2,30,32,128,32,2,2,15350.0,15428.0,15070.0,16090.0
110,laplap,naive,False,False,False,False,64,64,64,2,15,64,128,32,4,1,15135.0,15221.0,14760.0,16050.0
111,laplap,naive,False,False,False,False,64,64,64,60,15,1,256,1,4,64,53970.0,54530.0,53250.0,56000.0
112,laplap,naive,False,False,False,False,64,64,64,60,8,2,256,1,8,32,52495.0,52549.0,51660.0,53980.0
113,laplap,naive,False,False,False,False,64,64,64,60,4,4,256,1,16,16,53105.0,53242.0,52260.0,55020.0
