Benchmark                   , Blocks     ,,, Threads    ,,, Total execution time         ,,, Kernel-only execution time     
                            ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-regular-seq           ,   8, 256,  64,  32,   1,   1,  1.031068,  1.013025,  1.100434,  0.024164,  0.017108,  1.100434
hdiff-regular-seq           ,   8, 128,  64,  32,   2,   1,  1.018556,  1.007399,  1.102380,  0.020501,  0.017615,  1.102380
hdiff-regular-seq           ,   8,  64,  64,  32,   4,   1,  1.022447,  1.005263,  1.111277,  0.020812,  0.016878,  1.111277
hdiff-regular-seq           ,   8,  32,  64,  32,   8,   1,  1.023842,  1.007823,  1.103053,  0.021568,  0.018064,  1.103053
hdiff-regular-seq           ,   8,  16,  64,  32,  16,   1,  1.032990,  1.013738,  1.103403,  0.020489,  0.015867,  1.103403
hdiff-regular-seq           ,   8,   8,  64,  32,  32,   1,  1.025547,  1.006501,  1.117268,  0.020436,  0.017449,  1.117268
hdiff-unstr-naive           , 256, 256,  64,   1,   1,   1,  0.972562,  0.960533,  1.004460,  0.074072,  0.070134,  1.004460
hdiff-unstr-naive           ,   8, 256,  64,  32,   1,   1,  0.917279,  0.904913,  0.958580,  0.019150,  0.015941,  0.958580
hdiff-unstr-naive           ,   8, 128,  64,  32,   2,   1,  0.920641,  0.912213,  0.948828,  0.018661,  0.017210,  0.948828
hdiff-unstr-naive           ,   8,  64,  64,  32,   4,   1,  0.918580,  0.904029,  0.966442,  0.018169,  0.015309,  0.966442
hdiff-unstr-naive           ,   8,  32,  64,  32,   8,   1,  0.905061,  0.890799,  0.946844,  0.018221,  0.015891,  0.946844
hdiff-unstr-naive           ,   8,  16,  64,  32,  16,   1,  0.912525,  0.898847,  0.943021,  0.016213,  0.012616,  0.943021
hdiff-unstr-naive           ,   8,   8,  64,  32,  32,   1,  0.914867,  0.897707,  0.948969,  0.015309,  0.013191,  0.948969
hdiff-unstr-kloop           , 256, 256,   1,   1,   1,   1,  0.981760,  0.963315,  1.049541,  0.080483,  0.076869,  1.049541
hdiff-unstr-kloop           ,   8, 256,   1,  32,   1,   1,  0.921461,  0.911349,  0.954359,  0.022935,  0.019617,  0.954359
hdiff-unstr-kloop           ,   8, 128,   1,  32,   2,   1,  0.914303,  0.901047,  0.945684,  0.020043,  0.018335,  0.945684
hdiff-unstr-kloop           ,   8,  64,   1,  32,   4,   1,  0.911915,  0.894872,  0.939738,  0.020053,  0.019888,  0.939738
hdiff-unstr-kloop           ,   8,  32,   1,  32,   8,   1,  0.922300,  0.907175,  0.950969,  0.019945,  0.017184,  0.950969
hdiff-unstr-kloop           ,   8,  16,   1,  32,  16,   1,  0.912721,  0.896656,  0.946856,  0.020552,  0.019703,  0.946856
hdiff-unstr-kloop           ,   8,   8,   1,  32,  32,   1,  0.916265,  0.902367,  0.947803,  0.020038,  0.016506,  0.947803
hdiff-unstr-idxvar          , 256, 256,   1,   1,   1,   1,  0.969808,  0.956889,  1.027177,  0.077651,  0.073613,  1.027177
hdiff-unstr-idxvar          ,   8, 256,   1,  32,   1,   1,  0.913834,  0.901808,  0.936175,  0.022583,  0.020460,  0.936175
hdiff-unstr-idxvar          ,   8, 128,   1,  32,   2,   1,  0.905213,  0.892903,  0.931957,  0.022531,  0.018913,  0.931957
hdiff-unstr-idxvar          ,   8,  64,   1,  32,   4,   1,  0.913083,  0.905214,  0.942634,  0.022792,  0.023148,  0.942634
hdiff-unstr-idxvar          ,   8,  32,   1,  32,   8,   1,  0.911109,  0.894977,  0.948606,  0.022886,  0.020768,  0.948606
hdiff-unstr-idxvar          ,   8,  16,   1,  32,  16,   1,  0.916014,  0.905411,  0.941935,  0.022536,  0.019795,  0.941935
hdiff-unstr-idxvar          ,   8,   8,   1,  32,  32,   1,  0.909304,  0.898564,  0.948149,  0.021910,  0.021493,  0.948149
hdiff-unstr-seq             , 256, 256,  64,   1,   1,   1,  0.962650,  0.944889,  1.019202,  0.076752,  0.072628,  1.019202
hdiff-unstr-seq             ,   8, 256,  64,  32,   1,   1,  0.913077,  0.894590,  0.994570,  0.025528,  0.022054,  0.994570
hdiff-unstr-seq             ,   8, 128,  64,  32,   2,   1,  0.904280,  0.886557,  0.981040,  0.023146,  0.020309,  0.981040
hdiff-unstr-seq             ,   8,  64,  64,  32,   4,   1,  0.916894,  0.885849,  0.989777,  0.023393,  0.019933,  0.989777
hdiff-unstr-seq             ,   8,  32,  64,  32,   8,   1,  0.923611,  0.904062,  0.999596,  0.024024,  0.018965,  0.999596
hdiff-unstr-seq             ,   8,  16,  64,  32,  16,   1,  0.934894,  0.917811,  1.009597,  0.023595,  0.021143,  1.009597
hdiff-unstr-seq             ,   8,   8,  64,  32,  32,   1,  0.918100,  0.904315,  0.983946,  0.022984,  0.020310,  0.983946
