./gridbenchmark --no-verify --single-prec --double-prec --print-runs --size 512x512x1 512x512x2 512x512x3 512x512x4 512x512x5 512x512x6 512x512x7 512x512x8 512x512x9 512x512x10 512x512x11 512x512x12 512x512x13 512x512x14 512x512x15 512x512x16 512x512x17 512x512x18 512x512x19 512x512x20 512x512x21 512x512x22 512x512x23 512x512x24 512x512x25 512x512x26 512x512x27 512x512x28 512x512x29 512x512x30 512x512x31 512x512x32 512x512x33 512x512x34 512x512x35 512x512x36 512x512x37 512x512x38 512x512x39 512x512x40 512x512x41 512x512x42 512x512x43 512x512x44 512x512x45 512x512x46 512x512x47 512x512x48 512x512x49 512x512x50 512x512x51 512x512x52 512x512x53 512x512x54 512x512x55 512x512x56 512x512x57 512x512x58 512x512x59 512x512x60 512x512x61 512x512x62 512x512x63 512x512x64 --threads 64x1x8 laplap-regular-idxvar laplap-unstr-idxvar laplap-unstr-idxvar -z laplap-unstr-idxvar -n laplap-unstr-idxvar -n -z laplap-unstr-idxvar -c laplap-unstr-idxvar -c -n laplap-unstr-idxvar -c -z laplap-unstr-idxvar -c -z -n laplap-unstr-idxvar-shared laplap-unstr-idxvar-kloop laplap-unstr-idxvar-kloop-sliced laplap-unstr-naive 
Benchmark                           , Precision, Domain size,,, Blocks     ,,, Threads    ,,, Kernel-only execution time                                                                                                                                                                                                                                            
                                    ,          ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,    Median,   Minimum,   Maximum, Run  1   , Run  2   , Run  3   , Run  4   , Run  5   , Run  6   , Run  7   , Run  8   , Run  9   , Run 10   , Run 11   , Run 12   , Run 13   , Run 14   , Run 15   , Run 16   , Run 17   , Run 18   , Run 19   , Run 20   
laplap-unstr-idxvar-no-chase        ,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     34723,     34615,     33365,     37186,     37186,     36711,     35071,     34776,     34454,     35127,     34928,     34176,     34200,     33365,     35369,     34180,     33893,     34292,     35114,     35079,     34107,     34223,     34118,     34089
laplap-unstr-idxvar-no-chase-z-curves-4,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     34666,     34580,     33702,     35642,     35642,     35154,     34798,     34634,     34415,     34825,     34473,     34450,     33702,     34407,     34714,     34488,     34525,     35340,     34353,     34952,     34313,     35239,     34368,     34527
laplap-unstr-idxvar-comp            ,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     17872,     17574,     17389,     20963,     20963,     17989,     17635,     17582,     17522,     17926,     17515,     17389,     17418,     17566,     18612,     17503,     17868,     17487,     17456,     18750,     17397,     17490,     17524,     17856
laplap-unstr-idxvar-comp-no-chase   ,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     17856,     17739,     17459,     19537,     19537,     19503,     17920,     17948,     17479,     17989,     17489,     17750,     17694,     17459,     17728,     17478,     17644,     17476,     17481,     17887,     17547,     17762,     17468,     17877
laplap-unstr-idxvar-comp-z-curves-4 ,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     18617,     18502,     18034,     20356,     20356,     19231,     18465,     18767,     18353,     19447,     18548,     18139,     18299,     18058,     18485,     18918,     18133,     18128,     18034,     19445,     18701,     18190,     18125,     18520
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     19271,     19060,     18875,     20689,     20689,     19578,     19236,     19120,     18986,     19973,     19022,     18913,     18999,     18879,     19336,     18875,     18930,     19011,     18970,     20473,     18919,     18974,     19110,     19422
laplap-unstr-idxvar-shared          ,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     29062,     29022,     27815,     33148,     29048,     29172,     28640,     29449,     28476,     29083,     27815,     28475,     29293,     28572,     33148,     28665,     28401,     28494,     29268,     29799,     28567,     28529,     28995,     29355
laplap-unstr-idxvar-kloop           ,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     26653,     26744,     25807,     28323,     26541,     26132,     28323,     26032,     27690,     26036,     27089,     26794,     26820,     25959,     26145,     26864,     25807,     26766,     26691,     27224,     26915,     26721,     26655,     25848
laplap-unstr-idxvar-kloop-sliced    ,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     26594,     26663,     25952,     27387,     26501,     26901,     26211,     26418,     26273,     26507,     27064,     26854,     25987,     26049,     27296,     25952,     26825,     25976,     26023,     26592,     27304,     26857,     26899,     27387
laplap-unstr-naive                  ,    double, 512, 512,   1,   8, 508,   1,  64,   1,   1,     29292,     29133,     28288,     34096,     29186,     29008,     28467,     34096,     28616,     29471,     29324,     28374,     29031,     29080,     29387,     28288,     29324,     28801,     29655,     29544,     28758,     28872,     28854,     29706
laplap-regular-idxvar               ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     16677,     16568,     16359,     17253,     17253,     17158,     16622,     16567,     16504,     16613,     17089,     16384,     16508,     16359,     17039,     16706,     16425,     16459,     16690,     17011,     16675,     16514,     16491,     16466
laplap-unstr-idxvar                 ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     26868,     27017,     25922,     27930,     27706,     27270,     25922,     26042,     27301,     27428,     27156,     26174,     27124,     26950,     26559,     26171,     26205,     26953,     27930,     27478,     27036,     26988,     26998,     25973
laplap-unstr-idxvar-z-curves-4      ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     26395,     26488,     25417,     27292,     27292,     26656,     25985,     25417,     26967,     26477,     26999,     26637,     25874,     25940,     27092,     26667,     26808,     25879,     25965,     27083,     25875,     25840,     26105,     26340
laplap-unstr-idxvar-no-chase        ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     36734,     36029,     34882,     51626,     36125,     36530,     35966,     35935,     35107,     36262,     36039,     35008,     36021,     36299,     36092,     35747,     34882,     35864,     36661,     37240,     36273,     51626,     35184,     35812
laplap-unstr-idxvar-no-chase-z-curves-4,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     36626,     36682,     36015,     37333,     37213,     37332,     36311,     36634,     36730,     36838,     36611,     37122,     36869,     37134,     36473,     36361,     36040,     36050,     36015,     37333,     36048,     36958,     36196,     36250
laplap-unstr-idxvar-comp            ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     20349,     20326,     20035,     21418,     21418,     20642,     20305,     20381,     20065,     20954,     20107,     20347,     20455,     20084,     20440,     20119,     20066,     20035,     20054,     20635,     20086,     20132,     20147,     20500
laplap-unstr-idxvar-comp-no-chase   ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     18694,     18538,     18176,     20199,     19813,     18940,     18418,     18632,     18377,     18829,     18343,     18696,     18314,     18380,     19548,     18176,     18444,     18230,     18218,     18865,     18792,     18266,     18401,     20199
laplap-unstr-idxvar-comp-z-curves-4 ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     21050,     20884,     20628,     22799,     22799,     21634,     20856,     20855,     20728,     21234,     20674,     20734,     21121,     20879,     21231,     20890,     20717,     20628,     20708,     21530,     20987,     20760,     20867,     21170
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     21786,     21407,     20324,     31737,     21599,     21715,     21074,     20324,     20378,     21596,     20362,     20881,     21053,     21239,     21516,     21333,     22015,     21276,     21082,     21481,     21230,     21710,     31737,     22128
laplap-unstr-idxvar-shared          ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     26502,     26150,     25200,     31557,     26901,     27454,     31557,     26266,     26205,     25815,     26913,     25238,     26043,     25200,     27646,     25201,     25968,     26852,     25955,     26403,     26096,     26077,     26172,     26074
laplap-unstr-idxvar-kloop           ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   1,     27435,     27454,     26329,     29376,     27583,     27410,     28159,     29376,     28124,     29187,     27552,     26693,     26748,     26676,     26329,     26706,     26595,     27656,     26639,     28330,     26699,     27498,     27362,     27372
laplap-unstr-idxvar-kloop-sliced    ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     30092,     29508,     27861,     41719,     30602,     30389,     28888,     27861,     29924,     29575,     41719,     28779,     30099,     29243,     29309,     29706,     29760,     29583,     28731,     30464,     28850,     28275,     29661,     30416
laplap-unstr-naive                  ,    single, 512, 512,   2,   8, 508,   1,  64,   1,   2,     31016,     30907,     30022,     32684,     31292,     31325,     31638,     30022,     31306,     30387,     30747,     31440,     30661,     30742,     32684,     30889,     31060,     30627,     31445,     31079,     30628,     30754,     30603,     30988
laplap-regular-idxvar               ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     23227,     23030,     22261,     28163,     24032,     28163,     22540,     24348,     23176,     22713,     22642,     22486,     23130,     22376,     22884,     22261,     22293,     22321,     23271,     23729,     23199,     23201,     22365,     23411
laplap-unstr-idxvar                 ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     35450,     36164,     32702,     37550,     37550,     33485,     37515,     36125,     33753,     34038,     36343,     36202,     35154,     36974,     34964,     36212,     36296,     32942,     35019,     35082,     32702,     34867,     36351,     37434
laplap-unstr-idxvar-z-curves-4      ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     34102,     33330,     32437,     44884,     34999,     33041,     32511,     34440,     44884,     32897,     32925,     32495,     32472,     33440,     37353,     33361,     33364,     33325,     33297,     34628,     32437,     34217,     33432,     32513
laplap-unstr-idxvar-no-chase        ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     46579,     45790,     44536,     60435,     45677,     46305,     45902,     46589,     45771,     46233,     60435,     45540,     44686,     46398,     45820,     45478,     45557,     44536,     47614,     45958,     45603,     46423,     45478,     45575
laplap-unstr-idxvar-no-chase-z-curves-4,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     42952,     42790,     41663,     44212,     44212,     43984,     42337,     43655,     42604,     43012,     41663,     43335,     42541,     43622,     43855,     41713,     42549,     42517,     44168,     43814,     42564,     41759,     42561,     42569
laplap-unstr-idxvar-comp            ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     29897,     29844,     28333,     31502,     29727,     31502,     29362,     29292,     30906,     29073,     29653,     29287,     30012,     31383,     30352,     30042,     28333,     30280,     29004,     29771,     29961,     29326,     30979,     29701
laplap-unstr-idxvar-comp-no-chase   ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     29078,     29084,     27020,     31696,     29919,     27991,     29050,     27453,     28947,     30228,     28209,     31696,     28973,     28204,     27482,     28962,     30608,     30011,     29804,     30293,     29863,     27020,     29205,     27649
laplap-unstr-idxvar-comp-z-curves-4 ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     30644,     30785,     28446,     32250,     29990,     31682,     31799,     29275,     30516,     31295,     30723,     29165,     30151,     30437,     32250,     30879,     28446,     29954,     31277,     32084,     30847,     31671,     30062,     30376
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     30018,     29874,     29149,     31715,     29754,     31715,     30447,     29265,     30243,     29621,     29299,     29993,     29287,     29149,     31588,     29369,     29305,     30099,     29403,     30513,     31670,     29977,     29170,     30493
laplap-unstr-idxvar-shared          ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     33964,     34096,     32833,     35080,     33912,     33989,     32833,     34219,     34398,     33740,     35080,     33328,     34041,     34091,     33841,     34112,     34189,     34186,     33237,     33678,     34915,     34101,     33271,     34119
laplap-unstr-idxvar-kloop           ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   1,     33585,     33570,     32128,     34921,     34187,     34921,     34670,     32128,     32918,     33998,     33634,     32909,     33562,     32713,     34765,     33487,     33531,     34385,     32694,     33444,     32771,     33610,     34424,     32943
laplap-unstr-idxvar-kloop-sliced    ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     36985,     37151,     35451,     38516,     37033,     37248,     37370,     37618,     35894,     37199,     37103,     37693,     36663,     37495,     35451,     36857,     37501,     35716,     38516,     37970,     36573,     36547,     36625,     36631
laplap-unstr-naive                  ,    double, 512, 512,   2,   8, 508,   1,  64,   1,   2,     38476,     38390,     37213,     39716,     38709,     39716,     38214,     38161,     38059,     38467,     38032,     38171,     39113,     38127,     39518,     38834,     38567,     38929,     38846,     39197,     38112,     38100,     37445,     37213
laplap-regular-idxvar               ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     19303,     19234,     18181,     20694,     20694,     20577,     19683,     19113,     19207,     18993,     19592,     19027,     18933,     18990,     19346,     19372,     18914,     19261,     19024,     19420,     18181,     18984,     19003,     19752
laplap-unstr-idxvar                 ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     33526,     33530,     32561,     35182,     33545,     34536,     35182,     34357,     34332,     33409,     32561,     33077,     33652,     32591,     33882,     33515,     34428,     33439,     33412,     34045,     32568,     32689,     32660,     32641
laplap-unstr-idxvar-z-curves-4      ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     34260,     33182,     31614,     48862,     34186,     34824,     34405,     33619,     32652,     33831,     35511,     33414,     33473,     33331,     32890,     32888,     33300,     33335,     32531,     33764,     31614,     33316,     48862,     33457
laplap-unstr-idxvar-no-chase        ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     40672,     40756,     39806,     41664,     41374,     41664,     40883,     40350,     40837,     40381,     39939,     40653,     39898,     41642,     41231,     39806,     40675,     39881,     39945,     41176,     41516,     40872,     40729,     39981
laplap-unstr-idxvar-no-chase-z-curves-4,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     40471,     40342,     39074,     42176,     41007,     40317,     40195,     39933,     40240,     41230,     40128,     39074,     40134,     39256,     40359,     41069,     40984,     40325,     39935,     41303,     40754,     42176,     40871,     40138
