./gridbenchmark --no-verify --single-prec --double-prec --print-runs --size 512x512x1 512x512x2 512x512x3 512x512x4 512x512x5 512x512x6 512x512x7 512x512x8 512x512x9 512x512x10 512x512x11 512x512x12 512x512x13 512x512x14 512x512x15 512x512x16 512x512x17 512x512x18 512x512x19 512x512x20 512x512x21 512x512x22 512x512x23 512x512x24 512x512x25 512x512x26 512x512x27 512x512x28 512x512x29 512x512x30 512x512x31 512x512x32 512x512x33 512x512x34 512x512x35 512x512x36 512x512x37 512x512x38 512x512x39 512x512x40 512x512x41 512x512x42 512x512x43 512x512x44 512x512x45 512x512x46 512x512x47 512x512x48 512x512x49 512x512x50 512x512x51 512x512x52 512x512x53 512x512x54 512x512x55 512x512x56 512x512x57 512x512x58 512x512x59 512x512x60 512x512x61 512x512x62 512x512x63 512x512x64 --threads 64x1x8 laplap-regular-idxvar laplap-unstr-idxvar laplap-unstr-idxvar -z laplap-unstr-idxvar -n laplap-unstr-idxvar -n -z laplap-unstr-idxvar -c laplap-unstr-idxvar -c -n laplap-unstr-idxvar -c -z laplap-unstr-idxvar -c -z -n laplap-unstr-idxvar-shared laplap-unstr-idxvar-kloop laplap-unstr-idxvar-kloop-sliced laplap-unstr-naive 
Benchmark                           , Precision, Domain size,,, Blocks     ,,, Threads    ,,, Kernel-only execution time                                                                                                                                                                                                                                            
                                    ,          ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,    Median,   Minimum,   Maximum, Run  1   , Run  2   , Run  3   , Run  4   , Run  5   , Run  6   , Run  7   , Run  8   , Run  9   , Run 10   , Run 11   , Run 12   , Run 13   , Run 14   , Run 15   , Run 16   , Run 17   , Run 18   , Run 19   , Run 20   
laplap-unstr-idxvar-kloop-sliced    ,    single, 512, 512,  12,   8, 508,   1,  64,   1,   8,    148022,    147782,    145389,    150840,    150840,    150727,    146935,    145983,    147530,    150588,    145389,    147300,    148481,    147993,    147570,    147314,    146376,    149258,    146670,    147840,    148741,    148599,    145744,    150564
laplap-unstr-naive                  ,    single, 512, 512,  12,   8, 508,   2,  64,   1,   8,    121453,    121490,    120454,    122294,    121077,    121855,    121497,    121209,    122263,    121951,    120964,    120454,    121411,    122294,    121058,    122169,    121190,    120487,    121483,    121576,    121254,    121432,    121805,    121631
laplap-regular-idxvar               ,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,     94010,     93080,     86541,    102026,     90196,     95407,     91368,     88473,     98137,     90471,     90370,     91837,     94593,     94791,     86541,     93097,     87906,    101018,     98823,     95989,     92959,     96140,    102026,    100054
laplap-unstr-idxvar                 ,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    133855,    134649,    122632,    140246,    133792,    136735,    131817,    130064,    135506,    136638,    138305,    131162,    133775,    133023,    133872,    132508,    122632,    138000,    140246,    135836,    128331,    135573,    136443,    132834
laplap-unstr-idxvar-z-curves-4      ,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    132223,    133008,    125805,    138155,    135880,    134827,    132603,    128505,    132112,    133028,    134899,    132659,    133852,    127955,    129793,    134915,    128226,    133905,    128170,    138155,    133707,    132988,    132477,    125805
laplap-unstr-idxvar-no-chase        ,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    146700,    148744,    138940,    152182,    148462,    140875,    149238,    142017,    151715,    139863,    149987,    150274,    149027,    150372,    148941,    143311,    144382,    150417,    148493,    138940,    149230,    146764,    139517,    152182
laplap-unstr-idxvar-no-chase-z-curves-4,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    149552,    149986,    142142,    155065,    151992,    149691,    147030,    151332,    154381,    146543,    147761,    142142,    152958,    151812,    147664,    143916,    151710,    146969,    155065,    152696,    148541,    150029,    148855,    149943
laplap-unstr-idxvar-comp            ,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    131598,    132417,    121321,    136917,    136104,    132270,    133112,    129423,    131721,    132687,    133089,    132147,    135927,    131152,    131966,    135398,    134846,    125993,    130304,    131427,    136917,    121681,    134469,    121321
laplap-unstr-idxvar-comp-no-chase   ,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    129544,    131356,    120583,    136083,    134335,    132006,    121773,    124524,    127633,    123356,    120583,    123054,    128007,    130705,    133480,    133731,    127899,    133149,    132140,    134701,    134072,    130503,    129136,    136083
laplap-unstr-idxvar-comp-z-curves-4 ,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    137420,    138708,    126067,    143410,    140877,    135444,    135951,    136437,    141943,    139406,    135521,    140547,    138008,    143039,    141706,    129589,    133593,    143410,    141563,    140007,    138009,    134005,    133285,    126067
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    132480,    133470,    125595,    137183,    131509,    131815,    127525,    135143,    134058,    133073,    136034,    133866,    128884,    128562,    125595,    137183,    134613,    127272,    132867,    136626,    132431,    132816,    134177,    135546
laplap-unstr-idxvar-shared          ,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    150162,    150350,    145345,    155360,    152499,    149256,    150494,    148815,    148440,    153850,    152739,    145345,    147160,    151424,    149568,    150205,    155360,    147634,    148999,    151492,    150999,    151025,    147452,    150492
laplap-unstr-idxvar-kloop           ,    double, 512, 512,  12,   8, 508,   1,  64,   1,   1,    130331,    131368,    121671,    135484,    133212,    135484,    131208,    131529,    131485,    133557,    133008,    132239,    135131,    132796,    131196,    127238,    126846,    126929,    130360,    121671,    127270,    134552,    126972,    123928
laplap-unstr-idxvar-kloop-sliced    ,    double, 512, 512,  12,   8, 508,   1,  64,   1,   8,    210938,    211180,    205684,    216243,    208627,    210340,    207972,    209322,    208923,    210448,    214642,    211519,    209903,    205684,    211401,    213267,    216243,    214239,    213507,    212367,    205860,    210959,    214318,    209222
laplap-unstr-naive                  ,    double, 512, 512,  12,   8, 508,   2,  64,   1,   8,    159564,    159831,    154687,    163996,    161463,    160075,    159755,    154687,    159098,    163996,    158951,    156897,    160521,    159001,    160382,    159945,    159564,    159632,    159907,    159189,    160023,    162594,    159408,    156191
laplap-regular-idxvar               ,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,     71519,     71380,     69744,     74027,     74027,     72001,     71461,     71613,     73009,     70782,     70521,     71299,     70573,     72703,     70523,     71692,     69971,     70918,     73317,     74001,     69744,     70631,     70845,     70743
laplap-unstr-idxvar                 ,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,     99816,    100138,     97564,    101217,    100401,    100052,    100222,    100144,    100865,    101217,    100133,     98311,    100030,     99993,    100452,    100295,     97923,     99023,     97564,     99708,    100262,    100394,     99223,    100105
laplap-unstr-idxvar-z-curves-4      ,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,    100948,    101058,     99476,    102668,    102668,    101191,     99553,    101308,    100257,    100520,    101143,    101148,    101484,     99476,    100033,    100973,    101814,    100108,    100904,    102308,    100879,    101989,    100395,    100810
laplap-unstr-idxvar-no-chase        ,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,    116362,    116274,    114612,    119878,    117659,    115903,    116476,    116212,    116267,    118794,    115862,    115956,    116510,    116802,    119878,    116840,    116888,    115847,    115008,    114612,    115004,    114934,    115458,    116336
laplap-unstr-idxvar-no-chase-z-curves-4,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,    114779,    114730,    113114,    117018,    115900,    115853,    114841,    114345,    113963,    114274,    115024,    114403,    114735,    117018,    113573,    115657,    114714,    114726,    113114,    114476,    113541,    113121,    115964,    116344
laplap-unstr-idxvar-comp            ,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,    101650,    101758,     99747,    103854,    101516,    101468,    101442,    102148,    101281,    100586,    101974,    101825,    101850,    103854,    102112,     99747,    101859,    100115,    101755,    103080,    101691,    101003,    102396,    101301
laplap-unstr-idxvar-comp-no-chase   ,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,     90220,     90228,     88378,     92390,     91569,     89564,     92390,     90635,     90514,     89867,     91110,     90136,     90136,     90191,     88887,     90243,     89322,     90213,     90261,     89738,     88378,     88592,     91160,     91493
laplap-unstr-idxvar-comp-z-curves-4 ,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,    104856,    104549,    103821,    106752,    105061,    104398,    104747,    104370,    104446,    106377,    104379,    104205,    104277,    106266,    106752,    103913,    104029,    104523,    103821,    106506,    104652,    104863,    104073,    105455
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,     98472,     98475,     97245,    100143,     98000,     99757,     99953,     98566,     98844,     98593,     97245,     98308,     98846,     97299,     97549,     98262,    100143,     98123,     97493,     99417,     98638,     98089,     98384,     97924
laplap-unstr-idxvar-shared          ,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,    114026,    114266,    112704,    115972,    114191,    115735,    114465,    114572,    112903,    115972,    115484,    112847,    113168,    112704,    114340,    113438,    115012,    112898,    112744,    113704,    114247,    114348,    114476,    113270
laplap-unstr-idxvar-kloop           ,    single, 512, 512,  13,   8, 508,   1,  64,   1,   1,     92600,     92522,     91097,     94513,     91097,     92899,     92746,     92232,     91859,     93870,     92749,     91947,     92007,     92267,     92310,     91885,     93472,     92734,     91745,     93574,     91949,     94513,     92642,     93510
laplap-unstr-idxvar-kloop-sliced    ,    single, 512, 512,  13,   8, 508,   1,  64,   1,   8,    156454,    156130,    149563,    169362,    155117,    157672,    153631,    169362,    153182,    155073,    153833,    158619,    158895,    154158,    157144,    149563,    158321,    157015,    153804,    158207,    157392,    157370,    154337,    156395
laplap-unstr-naive                  ,    single, 512, 512,  13,   8, 508,   2,  64,   1,   8,    132512,    132612,    131247,    133785,    133024,    132478,    131853,    131957,    133785,    132944,    133270,    132083,    133361,    133385,    132637,    131247,    132586,    131268,    133471,    131967,    132035,    132461,    132967,    131459
laplap-regular-idxvar               ,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    103945,    104589,     95194,    112476,    104212,    103517,     96561,    106629,    112476,    104675,    110331,     95194,    107583,    108922,    106235,    104066,    104966,    103258,     98888,    100217,    105774,    101584,     97347,    106461
laplap-unstr-idxvar                 ,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    145987,    146916,    135387,    154599,    148989,    140422,    138987,    147541,    139216,    147385,    143396,    150654,    147276,    141534,    135387,    146292,    142267,    142940,    149634,    154599,    150602,    150742,    151696,    150187
laplap-unstr-idxvar-z-curves-4      ,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    143033,    144361,    129251,    152041,    152041,    151701,    142488,    146198,    129251,    150697,    140146,    130415,    140088,    144367,    148055,    139369,    138622,    141920,    144355,    140035,    145422,    146929,    146842,    141723
laplap-unstr-idxvar-no-chase        ,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    154760,    151918,    146561,    165780,    165780,    155110,    147704,    155892,    150684,    148057,    153823,    150771,    165508,    164935,    155537,    162400,    161519,    158171,    148299,    150749,    151164,    155889,    146561,    146655
laplap-unstr-idxvar-no-chase-z-curves-4,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    154896,    157880,    145553,    164510,    155263,    147443,    145553,    161386,    147827,    159638,    146795,    148810,    146216,    149793,    156040,    158145,    159018,    161338,    161028,    158422,    164510,    157616,    154674,    158401
laplap-unstr-idxvar-comp            ,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    144196,    145184,    132241,    151302,    148793,    140634,    144961,    142173,    146193,    145972,    142828,    141967,    146223,    145408,    144724,    151302,    145439,    143550,    143414,    141627,    132241,    139216,    148046,    149205
laplap-unstr-idxvar-comp-no-chase   ,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    137638,    138865,    125107,    144792,    138983,    125107,    138808,    130286,    144792,    144460,    138922,    141445,    134705,    144497,    142572,    139563,    137842,    142872,    135456,    133889,    132320,    131908,    136956,    137371
laplap-unstr-idxvar-comp-z-curves-4 ,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    150584,    151269,    142603,    155625,    149109,    146747,    149914,    154537,    150301,    154884,    151546,    149345,    151047,    144340,    151661,    151491,    155625,    154093,    147326,    150600,    153136,    142603,    151044,    152341
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    145337,    146278,    137898,    152471,    149856,    142605,    139740,    148018,    147800,    149395,    145963,    149580,    147197,    145210,    138192,    140463,    147905,    144877,    146544,    146013,    141454,    137898,    145564,    152471
laplap-unstr-idxvar-shared          ,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    151164,    152032,    142855,    157577,    146033,    152992,    156856,    153466,    153070,    145554,    154683,    150032,    153100,    151507,    152430,    154642,    151036,    145909,    142855,    157577,    149745,    149655,    150501,    151634
laplap-unstr-idxvar-kloop           ,    double, 512, 512,  13,   8, 508,   1,  64,   1,   1,    141194,    140956,    131057,    159255,    141488,    142198,    139901,    146661,    142175,    142012,    142550,    144052,    139056,    141436,    133564,    131057,    139604,    141378,    143008,    134860,    159255,    138550,    145536,    135530
laplap-unstr-idxvar-kloop-sliced    ,    double, 512, 512,  13,   8, 508,   1,  64,   1,   8,    221566,    221426,    216805,    229332,    223355,    224823,    219544,    218090,    222458,    224148,    219736,    218807,    216805,    225367,    217696,    220549,    219502,    221283,    221056,    229332,    220653,    223261,    223293,    221568
laplap-unstr-naive                  ,    double, 512, 512,  13,   8, 508,   2,  64,   1,   8,    172615,    171840,    168668,    177114,    177114,    174084,    172797,    171925,    173042,    170497,    168668,    174525,    171127,    175937,    172706,    170884,    169387,    171483,    171993,    172508,    173001,    173287,    175063,    172276
laplap-regular-idxvar               ,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,     79003,     79024,     75971,     81663,     79561,     77579,     79251,     77773,     79287,     77741,     81663,     81122,     81084,     79535,     79373,     77076,     78761,     78531,     78660,     78085,     79509,     78897,     80607,     75971
laplap-unstr-idxvar                 ,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,    107713,    107860,    106710,    108878,    107374,    107696,    108215,    107499,    108116,    107277,    108442,    106994,    108213,    108004,    107715,    108878,    107193,    108019,    106710,    106823,    108089,    107325,    108433,    107254
laplap-unstr-idxvar-z-curves-4      ,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,    108314,    108172,    107129,    110336,    109598,    110336,    108224,    108374,    107129,    107759,    108060,    108426,    108159,    107239,    107740,    108163,    108119,    109691,    107257,    109552,    108955,    107337,    108913,    107244
laplap-unstr-idxvar-no-chase        ,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,    122132,    122183,    120912,    123706,    123706,    121259,    122342,    122150,    123472,    122639,    121153,    121575,    121128,    121688,    123081,    121907,    122118,    120912,    121561,    122977,    122216,    122345,    121656,    122749
laplap-unstr-idxvar-no-chase-z-curves-4,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,    119735,    119753,    118135,    121203,    120304,    121042,    121203,    120658,    119768,    120974,    119775,    119780,    120015,    119286,    119379,    119469,    119640,    118135,    118860,    119691,    119738,    118796,    119490,    118691
laplap-unstr-idxvar-comp            ,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,    107128,    107213,    104842,    108835,    108835,    107407,    107451,    108122,    106346,    106823,    106877,    107053,    108615,    108331,    107637,    107307,    107193,    107125,    107233,    106754,    106143,    105529,    104842,    106939
laplap-unstr-idxvar-comp-no-chase   ,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,     93753,     93701,     91659,     95539,     94025,     93866,     94792,     94522,     92609,     94236,     95348,     95053,     93585,     95539,     93388,     91659,     93684,     94048,     93225,     92087,     93311,     93297,     92774,     94014
laplap-unstr-idxvar-comp-z-curves-4 ,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,    108800,    108636,    107484,    110441,    108955,    109154,    109312,    108047,    108518,    107484,    107693,    108433,    108399,    107715,    110441,    108318,    110117,    109280,    107868,    108892,    110110,    109277,    107883,    110113
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,    106167,    106298,    104645,    108653,    106990,    108653,    105623,    105658,    105659,    106403,    105593,    105029,    105968,    106668,    107968,    106859,    106290,    104645,    106305,    106543,    104829,    105137,    106503,    106026
laplap-unstr-idxvar-shared          ,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,    110692,    110671,    109286,    112447,    110324,    111045,    111256,    110450,    110446,    110422,    111275,    110261,    110260,    110555,    110787,    109286,    111209,    112447,    111299,    111008,    111051,    110204,    110270,    109990
laplap-unstr-idxvar-kloop           ,    single, 512, 512,  14,   8, 508,   1,  64,   1,   1,     98708,     98992,     96906,    100255,     98954,     99126,     98939,     98674,     99568,    100114,     97094,     97465,     99975,     96989,     96906,     98484,     99197,    100166,     97469,     99710,     99046,     98338,    100255,     97698
laplap-unstr-idxvar-kloop-sliced    ,    single, 512, 512,  14,   8, 508,   1,  64,   1,   8,    164583,    164982,    161094,    169244,    163626,    167379,    161562,    161103,    161340,    165413,    163308,    165711,    163239,    164639,    163634,    165206,    167327,    167089,    161094,    165810,    169244,    164757,    163798,    166379
laplap-unstr-naive                  ,    single, 512, 512,  14,   8, 508,   2,  64,   1,   8,    140648,    140598,    138907,    142528,    140448,    141316,    141729,    141378,    139247,    141130,    139772,    139745,    138907,    142528,    141479,    140582,    140747,    140386,    140361,    141888,    140244,    140853,    139729,    140492
laplap-regular-idxvar               ,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    108548,    109974,    101570,    117461,    104275,    106440,    103225,    112624,    110319,    113493,    106761,    103872,    110711,    108315,    115407,    110062,    101570,    111430,    104262,    107110,    102967,    109886,    117461,    110762
laplap-unstr-idxvar                 ,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    146818,    147774,    136879,    156685,    152027,    145273,    152974,    143594,    151845,    138313,    149511,    148643,    136879,    145272,    143154,    143491,    156685,    149986,    145019,    143911,    143763,    149174,    149933,    146906
laplap-unstr-idxvar-z-curves-4      ,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    151030,    151663,    139860,    161811,    149075,    156689,    139860,    146797,    151832,    154741,    161811,    154926,    149130,    147988,    144251,    156430,    145690,    148985,    146908,    157507,    155296,    147919,    151494,    153276
laplap-unstr-idxvar-no-chase        ,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    166362,    165262,    151316,    174415,    168595,    162136,    170892,    165211,    167408,    165105,    173451,    170800,    170858,    174415,    156679,    151316,    162427,    163796,    170819,    165040,    164250,    168097,    171298,    164656
laplap-unstr-idxvar-no-chase-z-curves-4,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    173487,    173834,    164620,    184229,    170915,    179881,    180146,    176061,    173424,    164620,    166683,    172286,    172432,    166721,    165254,    171287,    173198,    181286,    184229,    174244,    174385,    172670,    175029,    174989
laplap-unstr-idxvar-comp            ,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    156361,    157068,    145977,    161209,    155883,    158943,    161209,    152834,    157734,    157391,    156746,    158194,    157598,    155903,    158343,    159296,    150718,    159376,    145977,    156455,    157322,    157294,    154343,    155657
laplap-unstr-idxvar-comp-no-chase   ,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    146449,    147496,    138343,    154721,    138343,    148331,    142496,    146662,    141223,    143415,    153216,    143629,    149898,    142759,    154721,    143791,    142102,    144584,    152259,    141027,    149533,    150257,    150679,    150058
laplap-unstr-idxvar-comp-z-curves-4 ,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    160819,    162382,    151052,    166957,    154509,    165581,    163235,    165752,    151052,    166957,    156735,    164169,    155693,    155694,    166828,    163244,    159880,    158078,    157433,    163597,    161530,    163620,    161399,    161401
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    153563,    153675,    147197,    159166,    158937,    159166,    153513,    155392,    152302,    151856,    154939,    155847,    153837,    151851,    151426,    153200,    152556,    151772,    152749,    155646,    155699,    149348,    154020,    147197
laplap-unstr-idxvar-shared          ,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    161267,    162788,    152377,    165691,    165691,    152377,    163284,    157832,    162790,    163884,    160286,    165649,    160492,    160838,    164323,    160795,    156632,    163870,    157356,    162871,    158249,    162787,    162007,    163330
laplap-unstr-idxvar-kloop           ,    double, 512, 512,  14,   8, 508,   1,  64,   1,   1,    145444,    145934,    134175,    158584,    144675,    147472,    139947,    138052,    139586,    158584,    148017,    145815,    135297,    151820,    149819,    155518,    134175,    150270,    141285,    138276,    147192,    143482,    145507,    154097
laplap-unstr-idxvar-kloop-sliced    ,    double, 512, 512,  14,   8, 508,   1,  64,   1,   8,    235597,    236564,    229793,    241325,    232692,    236599,    229793,    238853,    241325,    232101,    236950,    232551,    231367,    230613,    236524,    231000,    236604,    239920,    238686,    237355,    233467,    236456,    239032,    240055
laplap-unstr-naive                  ,    double, 512, 512,  14,   8, 508,   2,  64,   1,   8,    187653,    189001,    181394,    191086,    190152,    190168,    183619,    188959,    191086,    189222,    183534,    185514,    182319,    188266,    189043,    190854,    185786,    181394,    186146,    188403,    190481,    190776,    186627,    190712
laplap-regular-idxvar               ,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,     81338,     81488,     78599,     86735,     86735,     80879,     81917,     79528,     82105,     82044,     81049,     79227,     79338,     82219,     82624,     80245,     83614,     81927,     78599,     79104,     81206,     81939,     80449,     82021
laplap-unstr-idxvar                 ,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,    111902,    112148,    109116,    114027,    113008,    112438,    111752,    112672,    113139,    112172,    113232,    111676,    110002,    112312,    111827,    112124,    114027,    110615,    111563,    111427,    112265,    109116,    111735,    110934
laplap-unstr-idxvar-z-curves-4      ,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,    111774,    111488,    109308,    115696,    110930,    113746,    111893,    113832,    111252,    115696,    114059,    110166,    110931,    111017,    112234,    110014,    110393,    110288,    110817,    114263,    111998,    110916,    111723,    109308
laplap-unstr-idxvar-no-chase        ,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,    130494,    130434,    129138,    132467,    129830,    130928,    132467,    130616,    130075,    131372,    130124,    131862,    130251,    129390,    129539,    130121,    130876,    131378,    129949,    131650,    129980,    129296,    129138,    131031
laplap-unstr-idxvar-no-chase-z-curves-4,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,    129869,    129634,    128403,    132495,    129703,    132052,    132161,    129687,    129506,    129968,    128761,    128787,    132495,    129697,    129359,    128816,    128403,    129089,    129762,    129800,    130298,    130086,    130132,    128820
laplap-unstr-idxvar-comp            ,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,    111645,    111920,    109047,    114559,    111788,    114559,    111584,    111323,    109047,    112052,    112264,    110506,    110680,    111304,    111644,    112081,    110428,    112353,    111267,    112090,    112060,    112148,    112055,    111666
laplap-unstr-idxvar-comp-no-chase   ,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,     98427,     98822,     96190,    100183,     99513,     99669,    100183,     98153,     99836,     99950,     98453,     97306,     97617,     97672,     99307,     99192,     98009,     97899,     96688,     96448,     99192,     97134,    100138,     96190
laplap-unstr-idxvar-comp-z-curves-4 ,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,    113687,    113578,    112479,    116029,    114828,    113067,    114353,    115143,    112709,    114805,    114247,    112516,    112513,    112709,    112782,    113281,    112753,    113730,    113368,    114044,    113874,    114511,    112479,    116029
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,    109153,    109249,    108289,    110962,    109402,    108789,    110962,    109347,    108529,    109096,    109106,    109630,    109194,    108920,    109328,    109827,    108840,    108289,    108352,    109329,    109161,    109320,    108327,    109304
laplap-unstr-idxvar-shared          ,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,    114031,    113850,    112793,    117586,    115436,    113831,    117586,    114207,    113265,    114416,    112793,    113780,    113921,    112804,    114847,    115047,    113736,    112807,    114547,    113205,    113869,    113832,    113600,    113089
laplap-unstr-idxvar-kloop           ,    single, 512, 512,  15,   8, 508,   1,  64,   1,   1,    102682,    102582,    100130,    105097,    101558,    101869,    102388,    101905,    102885,    103856,    101884,    102158,    102533,    104164,    103861,    103227,    104179,    104582,    101629,    105097,    101749,    101364,    102630,    100130
laplap-unstr-idxvar-kloop-sliced    ,    single, 512, 512,  15,   8, 508,   1,  64,   1,   8,    171559,    171738,    166395,    176536,    173089,    171654,    171367,    173311,    170862,    171978,    172838,    166395,    168450,    169094,    172495,    171498,    171118,    170916,    172676,    176536,    172190,    174621,    170564,    169522
laplap-unstr-naive                  ,    single, 512, 512,  15,   8, 508,   2,  64,   1,   8,    150941,    150817,    149138,    152618,    150139,    151885,    151657,    149797,    150641,    151253,    149138,    150492,    150124,    150061,    151980,    152439,    151041,    150512,    152618,    150769,    150865,    150702,    150386,    152323
laplap-regular-idxvar               ,    double, 512, 512,  15,   8, 508,   2,  64,   1,   8,    117843,    118239,    113142,    122867,    118283,    117754,    113142,    117934,    120669,    115896,    122867,    115149,    114311,    116837,    117177,    118195,    114069,    119567,    122115,    119271,    113479,    118784,    122059,    119305
laplap-unstr-idxvar                 ,    double, 512, 512,  15,   8, 508,   2,  64,   1,   8,    159177,    159810,    143217,    166770,    164610,    154342,    157661,    159641,    165538,    166584,    156019,    158523,    159772,    166770,    146724,    143217,    159213,    155262,    154034,    159980,    163174,    163170,    162973,    166339
laplap-unstr-idxvar-z-curves-4      ,    double, 512, 512,  15,   8, 508,   2,  64,   1,   8,    164303,    166946,    151503,    173957,    168771,    167179,    166688,    166969,    152381,    170981,    156370,    173957,    151503,    163054,    169493,    166924,    159380,    165375,    161712,    168866,    167181,    173027,    157374,    158880
laplap-unstr-idxvar-no-chase        ,    double, 512, 512,  15,   8, 508,   2,  64,   1,   8,    174515,    175113,    157443,    189530,    188604,    181692,    175725,    181885,    180771,    188948,    181521,    174501,    175964,    168352,    169723,    171008,    163506,    168339,    169826,    189530,    165254,    166524,    171179,    157443
laplap-unstr-idxvar-no-chase-z-curves-4,    double, 512, 512,  15,   8, 508,   2,  64,   1,   8,    175711,    176886,    163818,    184130,    179118,    183631,    175849,    170014,    176349,    175800,    181929,    167189,    170945,    173484,    177482,    173209,    163818,    169826,    184130,    178922,    177575,    176361,    177412,    181171
laplap-unstr-idxvar-comp            ,    double, 512, 512,  15,   8, 508,   2,  64,   1,   8,    162664,    162792,    157919,    166767,    162975,    161470,    161030,    158849,    166767,    161848,    165729,    163099,    163269,    164937,    161500,    164890,    160814,    162326,    162484,    158761,    163807,    157919,    165554,    165258
laplap-unstr-idxvar-comp-no-chase   ,    double, 512, 512,  15,   8, 508,   2,  64,   1,   8,    159335,    159730,    145810,    169158,    161404,    169158,    159670,    161456,    152385,    159904,    161854,    159675,    165975,    159568,    158043,    165871,    145810,    156427,    156142,    157722,    157102,    161449,    157293,    159785
laplap-unstr-idxvar-comp-z-curves-4 ,    double, 512, 512,  15,   8, 508,   2,  64,   1,   8,    170825,    171155,    162809,    177243,    169213,    173432,    174800,    170776,    169583,    169614,    170869,    168848,    162809,    173110,    171441,    175213,    173960,    166313,    172962,    177243,    172111,    167157,    167093,    169957
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    double, 512, 512,  15,   8, 508,   2,  64,   1,   8,    165684,    165382,    156577,    170659,    169762,    170659,    167415,    166516,    166170,    169478,    156577,    164933,    167379,    165004,    167826,    166110,    162767,    165058,    163140,    167980,    164247,    160069,    165057,    167542
