,stencil,precision,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
50,laplap,double,idxvar-kloop-sliced,True,False,False,False,512,512,2,8,508,1,128,64,1,2,37151.0,36985.0,35451.0,38516.0
51,laplap,double,naive,True,False,False,False,512,512,2,8,508,1,128,64,1,2,38390.0,38476.0,37213.0,39716.0
52,laplap,single,idxvar,False,False,False,False,512,512,3,8,508,1,192,64,1,3,19234.0,19303.0,18181.0,20694.0
53,laplap,single,idxvar,True,False,False,False,512,512,3,8,508,1,192,64,1,3,33530.0,33526.0,32561.0,35182.0
54,laplap,single,idxvar,True,True,False,False,512,512,3,8,508,1,192,64,1,3,33182.0,34260.0,31614.0,48862.0
55,laplap,single,idxvar,True,False,False,True,512,512,3,8,508,1,192,64,1,3,40756.0,40672.0,39806.0,41664.0
56,laplap,single,idxvar,True,True,False,True,512,512,3,8,508,1,192,64,1,3,40342.0,40471.0,39074.0,42176.0
57,laplap,single,idxvar,True,False,True,False,512,512,3,8,508,1,192,64,1,3,31928.0,32871.0,30396.0,43911.0
58,laplap,single,idxvar,True,False,True,True,512,512,3,8,508,1,192,64,1,3,27940.0,28085.0,26869.0,29233.0
59,laplap,single,idxvar,True,True,True,False,512,512,3,8,508,1,192,64,1,3,32237.0,32057.0,30847.0,33079.0
60,laplap,single,idxvar,True,True,True,True,512,512,3,8,508,1,192,64,1,3,29712.0,29738.0,29155.0,31285.0
61,laplap,single,idxvar-shared,True,False,False,False,512,512,3,8,508,1,192,64,1,3,32724.0,32819.0,32009.0,34113.0
62,laplap,single,idxvar-kloop,True,False,False,False,512,512,3,8,508,1,64,64,1,1,33321.0,33366.0,31946.0,35358.0
63,laplap,single,idxvar-kloop-sliced,True,False,False,False,512,512,3,8,508,1,192,64,1,3,36621.0,36572.0,34976.0,38054.0
64,laplap,single,naive,True,False,False,False,512,512,3,8,508,1,192,64,1,3,40260.0,40169.0,39024.0,41526.0
65,laplap,double,idxvar,False,False,False,False,512,512,3,8,508,1,192,64,1,3,29826.0,30188.0,27446.0,37447.0
66,laplap,double,idxvar,True,False,False,False,512,512,3,8,508,1,192,64,1,3,43832.0,43434.0,39800.0,45954.0
67,laplap,double,idxvar,True,True,False,False,512,512,3,8,508,1,192,64,1,3,41320.0,41166.0,38346.0,43956.0
68,laplap,double,idxvar,True,False,False,True,512,512,3,8,508,1,192,64,1,3,52400.0,52394.0,49871.0,53837.0
69,laplap,double,idxvar,True,True,False,True,512,512,3,8,508,1,192,64,1,3,52234.0,52461.0,49958.0,59033.0
70,laplap,double,idxvar,True,False,True,False,512,512,3,8,508,1,192,64,1,3,38326.0,38728.0,35656.0,48317.0
71,laplap,double,idxvar,True,False,True,True,512,512,3,8,508,1,192,64,1,3,37790.0,37756.0,35643.0,39848.0
72,laplap,double,idxvar,True,True,True,False,512,512,3,8,508,1,192,64,1,3,39282.0,39593.0,36837.0,42954.0
73,laplap,double,idxvar,True,True,True,True,512,512,3,8,508,1,192,64,1,3,37796.0,37913.0,34432.0,40954.0
74,laplap,double,idxvar-shared,True,False,False,False,512,512,3,8,508,1,192,64,1,3,44398.0,44108.0,41422.0,46824.0
75,laplap,double,idxvar-kloop,True,False,False,False,512,512,3,8,508,1,64,64,1,1,41912.0,41859.0,40026.0,43588.0
76,laplap,double,idxvar-kloop-sliced,True,False,False,False,512,512,3,8,508,1,192,64,1,3,46208.0,45965.0,42998.0,47334.0
77,laplap,double,naive,True,False,False,False,512,512,3,8,508,1,192,64,1,3,50960.0,50613.0,47693.0,52968.0
78,laplap,single,idxvar,False,False,False,False,512,512,4,8,508,1,256,64,1,4,28966.0,29708.0,27953.0,38986.0
79,laplap,single,idxvar,True,False,False,False,512,512,4,8,508,1,256,64,1,4,41144.0,41060.0,39320.0,42574.0
80,laplap,single,idxvar,True,True,False,False,512,512,4,8,508,1,256,64,1,4,36804.0,36816.0,35918.0,38426.0
81,laplap,single,idxvar,True,False,False,True,512,512,4,8,508,1,256,64,1,4,48110.0,47986.0,47037.0,48958.0
82,laplap,single,idxvar,True,True,False,True,512,512,4,8,508,1,256,64,1,4,48616.0,48498.0,47854.0,49480.0
83,laplap,single,idxvar,True,False,True,False,512,512,4,8,508,1,256,64,1,4,36666.0,36541.0,35827.0,37251.0
84,laplap,single,idxvar,True,False,True,True,512,512,4,8,508,1,256,64,1,4,35184.0,35283.0,33394.0,37064.0
